sample_id,scientific_name,genus,species
SAMD00413002,Saccharolobus caldissimus,Saccharolobus,caldissimus
SAMD00413987,Acidianus sp021655615,Acidianus,sp021655615
SAMD00656837,Methanococcus maripaludis,Methanococcus,maripaludis
SAMEA104149373,Thermococcus henrietii,Thermococcus,henrietii
SAMEA104149385,Thermococcus camini,Thermococcus,camini
SAMEA114771135,Haloferax gibbonsii,Haloferax,gibbonsii
SAMEA114771136,Haloferax gibbonsii,Haloferax,gibbonsii
SAMEA114771137,Haloferax gibbonsii,Haloferax,gibbonsii
SAMEA114771138,Haloferax gibbonsii,Haloferax,gibbonsii
SAMEA114771143,Haloferax gibbonsii,Haloferax,gibbonsii
SAMEA114771144,Haloferax gibbonsii,Haloferax,gibbonsii
SAMEA115527331,Sulfolobus acidocaldarius,Sulfolobus,acidocaldarius
SAMEA115527332,Sulfolobus acidocaldarius,Sulfolobus,acidocaldarius
SAMEA115527333,Sulfolobus acidocaldarius,Sulfolobus,acidocaldarius
SAMEA115527334,Sulfolobus acidocaldarius,Sulfolobus,acidocaldarius
SAMEA115527335,Sulfolobus acidocaldarius,Sulfolobus,acidocaldarius
SAMEA115527336,Sulfolobus acidocaldarius,Sulfolobus,acidocaldarius
SAMEA115527337,Sulfolobus acidocaldarius,Sulfolobus,acidocaldarius
SAMEA115527338,Sulfolobus acidocaldarius,Sulfolobus,acidocaldarius
SAMEA115527339,Sulfolobus acidocaldarius,Sulfolobus,acidocaldarius
SAMEA115527340,Sulfolobus acidocaldarius,Sulfolobus,acidocaldarius
SAMEA115527341,Sulfolobus acidocaldarius,Sulfolobus,acidocaldarius
SAMEA115527342,Sulfolobus acidocaldarius,Sulfolobus,acidocaldarius
SAMEA115527343,Sulfolobus acidocaldarius,Sulfolobus,acidocaldarius
SAMEA115527344,Sulfolobus acidocaldarius,Sulfolobus,acidocaldarius
SAMEA115527345,Sulfolobus acidocaldarius,Sulfolobus,acidocaldarius
SAMEA115527346,Sulfolobus acidocaldarius,Sulfolobus,acidocaldarius
SAMEA115527347,Sulfolobus acidocaldarius,Sulfolobus,acidocaldarius
SAMEA115527348,Sulfolobus acidocaldarius,Sulfolobus,acidocaldarius
SAMEA115527349,Sulfolobus acidocaldarius,Sulfolobus,acidocaldarius
SAMEA115527350,Sulfolobus acidocaldarius,Sulfolobus,acidocaldarius
SAMEA115527351,Sulfolobus acidocaldarius,Sulfolobus,acidocaldarius
SAMEA115527352,Sulfolobus acidocaldarius,Sulfolobus,acidocaldarius
SAMEA115527353,Sulfolobus acidocaldarius,Sulfolobus,acidocaldarius
SAMEA115527354,Sulfolobus acidocaldarius,Sulfolobus,acidocaldarius
SAMEA115527355,Sulfolobus acidocaldarius,Sulfolobus,acidocaldarius
SAMEA115527356,Sulfolobus acidocaldarius,Sulfolobus,acidocaldarius
SAMEA115527357,Sulfolobus acidocaldarius,Sulfolobus,acidocaldarius
SAMEA115527358,Sulfolobus acidocaldarius,Sulfolobus,acidocaldarius
SAMEA115527359,Sulfolobus acidocaldarius,Sulfolobus,acidocaldarius
SAMEA115527360,Sulfolobus acidocaldarius,Sulfolobus,acidocaldarius
SAMEA115527361,Sulfolobus acidocaldarius,Sulfolobus,acidocaldarius
SAMEA115527362,Sulfolobus acidocaldarius,Sulfolobus,acidocaldarius
SAMEA115527363,Sulfolobus acidocaldarius,Sulfolobus,acidocaldarius
SAMEA115527364,Sulfolobus acidocaldarius,Sulfolobus,acidocaldarius
SAMEA115527365,Sulfolobus acidocaldarius,Sulfolobus,acidocaldarius
SAMEA115527366,Sulfolobus acidocaldarius,Sulfolobus,acidocaldarius
SAMEA115527367,Sulfolobus acidocaldarius,Sulfolobus,acidocaldarius
SAMEA115527368,Sulfolobus acidocaldarius,Sulfolobus,acidocaldarius
SAMEA115527369,Sulfolobus acidocaldarius,Sulfolobus,acidocaldarius
SAMEA115527370,Sulfolobus acidocaldarius,Sulfolobus,acidocaldarius
SAMEA115527371,Sulfolobus acidocaldarius,Sulfolobus,acidocaldarius
SAMEA115527372,Sulfolobus acidocaldarius,Sulfolobus,acidocaldarius
SAMEA1713487,Saccharolobus islandicus,Saccharolobus,islandicus
SAMEA1713488,Saccharolobus islandicus,Saccharolobus,islandicus
SAMEA1713489,Saccharolobus islandicus,Saccharolobus,islandicus
SAMEA5547881,Methanococcoides vulcani,Methanococcoides,vulcani
SAMEA5841876,Haloarcula hispanica,Haloarcula,hispanica
SAMEA5858272,Haloferax massiliensis,Haloferax,massiliensis
SAMEA8261603,Thermococcus_B barophilus,Thermococcus_B,barophilus
SAMEA8261604,Thermococcus_B barophilus,Thermococcus_B,barophilus
SAMEA8261605,Thermococcus_B barophilus,Thermococcus_B,barophilus
SAMEA8261606,Thermococcus_B barophilus,Thermococcus_B,barophilus
SAMEA8261607,Thermococcus_B barophilus,Thermococcus_B,barophilus
SAMEA8261608,Thermococcus_B barophilus,Thermococcus_B,barophilus
SAMEA8261609,Thermococcus_B barophilus,Thermococcus_B,barophilus
SAMEA8261610,Thermococcus_B barophilus,Thermococcus_B,barophilus
SAMEA8261611,Thermococcus_B barophilus,Thermococcus_B,barophilus
SAMEA8261612,Thermococcus_B barophilus,Thermococcus_B,barophilus
SAMEA8261613,Thermococcus_B barophilus,Thermococcus_B,barophilus
SAMEA8261614,Thermococcus_B barophilus,Thermococcus_B,barophilus
SAMEA8261615,Thermococcus_B barophilus,Thermococcus_B,barophilus
SAMEA8261616,Thermococcus_B barophilus,Thermococcus_B,barophilus
SAMEA8261617,Thermococcus_B barophilus,Thermococcus_B,barophilus
SAMEA8261618,Thermococcus_B barophilus,Thermococcus_B,barophilus
SAMEA8261620,Thermococcus_B barophilus,Thermococcus_B,barophilus
SAMEA8261621,Thermococcus_B barophilus,Thermococcus_B,barophilus
SAMEA8261622,Thermococcus_B barophilus,Thermococcus_B,barophilus
SAMEA8261623,Thermococcus_B barophilus,Thermococcus_B,barophilus
SAMEA8261625,Thermococcus_B barophilus,Thermococcus_B,barophilus
SAMEA8261626,Thermococcus_B barophilus,Thermococcus_B,barophilus
SAMEA8261627,Thermococcus_B barophilus,Thermococcus_B,barophilus
SAMEA8261628,Thermococcus_B barophilus,Thermococcus_B,barophilus
SAMEA8261629,Thermococcus_B barophilus,Thermococcus_B,barophilus
SAMEA8261631,Thermococcus_B barophilus,Thermococcus_B,barophilus
SAMEA8261633,Thermococcus_B barophilus,Thermococcus_B,barophilus
SAMEA8261634,Thermococcus_B barophilus,Thermococcus_B,barophilus
SAMEA8261635,Thermococcus_B barophilus,Thermococcus_B,barophilus
SAMEA8261636,Thermococcus_B barophilus,Thermococcus_B,barophilus
SAMEA8261637,Thermococcus_B barophilus,Thermococcus_B,barophilus
SAMEA8389197,Thermococcus_B barophilus,Thermococcus_B,barophilus
SAMEA8389198,Thermococcus_B barophilus,Thermococcus_B,barophilus
SAMEA8389199,Thermococcus_B barophilus,Thermococcus_B,barophilus
SAMEA8389200,Thermococcus_B barophilus,Thermococcus_B,barophilus
SAMN00016537,Haloterrigena turkmenica,Haloterrigena,turkmenica
SAMN00017612,Ignisphaera aggregans,Ignisphaera,aggregans
SAMN00109826,Archaeoglobus_C veneficus,Archaeoglobus_C,veneficus
SAMN00109828,Pyrolobus fumarii,Pyrolobus,fumarii
SAMN00117507,Methanobacterium_B lacus,Methanobacterium_B,lacus
SAMN00117515,Methanobacterium_C paludis,Methanobacterium_C,paludis
SAMN00117519,Halopiger xanaduensis,Halopiger,xanaduensis
SAMN00713598,Archaeoglobus_C veneficus,Archaeoglobus_C,veneficus
SAMN00713630,Methanobacterium_C paludis,Methanobacterium_C,paludis
SAMN00738634,Methanoplanus limicola,Methanoplanus,limicola
SAMN00849772,Haloplanus natans,Haloplanus,natans
SAMN02194542,Methanothermococcus thermolithotrophicus,Methanothermococcus,thermolithotrophicus
SAMN02194567,UBA583 sp013215525,UBA583,sp013215525
SAMN02194826,Nitrosopelagicus sp000402075,Nitrosopelagicus,sp000402075
SAMN02194828,UBA213 sp002713325,UBA213,sp002713325
SAMN02194830,Nitrosopumilus sp905612295,Nitrosopumilus,sp905612295
SAMN02194965,Nitrosopelagicus sp000484935,Nitrosopelagicus,sp000484935
SAMN02194967,Nitrosopelagicus sp000484935,Nitrosopelagicus,sp000484935
SAMN02194972,Nitrosopelagicus sp000484935,Nitrosopelagicus,sp000484935
SAMN02194975,Nitrosopelagicus sp013390745,Nitrosopelagicus,sp013390745
SAMN02194976,Nitrosopumilus sp013390905,Nitrosopumilus,sp013390905
SAMN02198853,Nitrosopumilus sp905612295,Nitrosopumilus,sp905612295
SAMN02198856,Nitrosopumilus sp905612295,Nitrosopumilus,sp905612295
SAMN02198857,Nitrosopelagicus sp000484935,Nitrosopelagicus,sp000484935
SAMN02199281,Halorubrum ezzemoulense,Halorubrum,ezzemoulense
SAMN02199313,Methanocorpusculum parvum,Methanocorpusculum,parvum
SAMN02232028,Halopiger xanaduensis,Halopiger,xanaduensis
SAMN02232037,Methanobacterium_B lacus,Methanobacterium_B,lacus
SAMN02232038,Methanoregula formicica,Methanoregula,formicica
SAMN02232047,Pyrolobus fumarii,Pyrolobus,fumarii
SAMN02261271,Nitromaritima sp000372225,Nitromaritima,sp000372225
SAMN02261426,Caldisphaera lagunensis,Caldisphaera,lagunensis
SAMN02440520,Nitrosopelagicus sp000402075,Nitrosopelagicus,sp000402075
SAMN02440539,ASMP01 sp000405225,ASMP01,sp000405225
SAMN02440540,Aenigmatarchaeum subterraneum,Aenigmatarchaeum,subterraneum
SAMN02441569,Halorubrum ezzemoulense,Halorubrum,ezzemoulense
SAMN02441613,MS024-2A sp018646605,MS024-2A,sp018646605
SAMN02598509,Thermosphaera aggregans,Thermosphaera,aggregans
SAMN02708932,Methanosarcina mazei,Methanosarcina,mazei
SAMN02708933,Methanosarcina mazei,Methanosarcina,mazei
SAMN02708934,Methanosarcina mazei,Methanosarcina,mazei
SAMN02708935,Methanosarcina mazei,Methanosarcina,mazei
SAMN02708938,Methanosarcina mazei,Methanosarcina,mazei
SAMN02708939,Methanosarcina mazei,Methanosarcina,mazei
SAMN02708940,Methanosarcina mazei,Methanosarcina,mazei
SAMN02708941,Methanosarcina mazei,Methanosarcina,mazei
SAMN02708942,Methanosarcina mazei,Methanosarcina,mazei
SAMN02708943,Methanosarcina mazei,Methanosarcina,mazei
SAMN02708944,Methanosarcina mazei,Methanosarcina,mazei
SAMN02708945,Methanosarcina mazei,Methanosarcina,mazei
SAMN02708946,Methanosarcina mazei,Methanosarcina,mazei
SAMN02708947,Methanosarcina mazei,Methanosarcina,mazei
SAMN02708948,Methanosarcina mazei,Methanosarcina,mazei
SAMN02708949,Methanosarcina mazei,Methanosarcina,mazei
SAMN02708950,Methanosarcina mazei,Methanosarcina,mazei
SAMN02708951,Methanosarcina mazei,Methanosarcina,mazei
SAMN02708952,Methanosarcina mazei,Methanosarcina,mazei
SAMN02708953,Methanosarcina mazei,Methanosarcina,mazei
SAMN02708954,Methanosarcina mazei,Methanosarcina,mazei
SAMN02708955,Methanosarcina mazei,Methanosarcina,mazei
SAMN02708956,Methanosarcina mazei,Methanosarcina,mazei
SAMN02708957,Methanosarcina mazei,Methanosarcina,mazei
SAMN02708958,Methanosarcina mazei,Methanosarcina,mazei
SAMN02708959,Methanosarcina mazei,Methanosarcina,mazei
SAMN02708960,Methanosarcina mazei,Methanosarcina,mazei
SAMN02708961,Methanosarcina mazei,Methanosarcina,mazei
SAMN02708962,Methanosarcina mazei,Methanosarcina,mazei
SAMN02708963,Methanosarcina mazei,Methanosarcina,mazei
SAMN02708964,Methanosarcina mazei,Methanosarcina,mazei
SAMN02708965,Methanosarcina mazei,Methanosarcina,mazei
SAMN02708966,Methanosarcina mazei,Methanosarcina,mazei
SAMN02708967,Methanosarcina mazei,Methanosarcina,mazei
SAMN02708968,Methanosarcina mazei,Methanosarcina,mazei
SAMN02708969,Methanosarcina mazei,Methanosarcina,mazei
SAMN02708970,Methanosarcina mazei,Methanosarcina,mazei
SAMN02708971,Methanosarcina mazei,Methanosarcina,mazei
SAMN02708972,Methanosarcina mazei,Methanosarcina,mazei
SAMN02708973,Methanosarcina mazei,Methanosarcina,mazei
SAMN02708974,Methanosarcina mazei,Methanosarcina,mazei
SAMN02708975,Methanosarcina mazei,Methanosarcina,mazei
SAMN02708976,Methanosarcina mazei,Methanosarcina,mazei
SAMN02708977,Methanosarcina mazei,Methanosarcina,mazei
SAMN02708978,Methanosarcina mazei,Methanosarcina,mazei
SAMN02708979,Methanosarcina mazei,Methanosarcina,mazei
SAMN02708980,Methanosarcina mazei,Methanosarcina,mazei
SAMN02708981,Methanosarcina mazei,Methanosarcina,mazei
SAMN02708983,Methanosarcina mazei,Methanosarcina,mazei
SAMN02708984,Methanosarcina mazei,Methanosarcina,mazei
SAMN02708985,Methanosarcina mazei,Methanosarcina,mazei
SAMN02708986,Methanosarcina mazei,Methanosarcina,mazei
SAMN02708987,Methanosarcina mazei,Methanosarcina,mazei
SAMN02708988,Methanosarcina sp000979455,Methanosarcina,sp000979455
SAMN02708989,Methanosarcina sp000979455,Methanosarcina,sp000979455
SAMN02708990,Methanosarcina sp000979455,Methanosarcina,sp000979455
SAMN02708991,Methanosarcina sp000979455,Methanosarcina,sp000979455
SAMN02708992,Methanosarcina sp000979455,Methanosarcina,sp000979455
SAMN02708993,Methanosarcina sp000979455,Methanosarcina,sp000979455
SAMN02708994,Methanosarcina sp000979455,Methanosarcina,sp000979455
SAMN02744072,Palaeococcus ferrophilus,Palaeococcus,ferrophilus
SAMN02744080,Halosimplex carlsbadense,Halosimplex,carlsbadense
SAMN02746094,Methermicoccus shengliensis,Methermicoccus,shengliensis
SAMN02821396,Saccharolobus solfataricus,Saccharolobus,solfataricus
SAMN02821529,Saccharolobus solfataricus,Saccharolobus,solfataricus
SAMN02821639,Saccharolobus solfataricus,Saccharolobus,solfataricus
SAMN02822020,Saccharolobus solfataricus,Saccharolobus,solfataricus
SAMN02822270,Saccharolobus solfataricus,Saccharolobus,solfataricus
SAMN02822354,Saccharolobus solfataricus,Saccharolobus,solfataricus
SAMN02910297,Methanobrevibacter olleyae,Methanobrevibacter,olleyae
SAMN02910304,Methanobacterium_D veterum,Methanobacterium_D,veterum
SAMN02910397,Methanobacterium_D veterum,Methanobacterium_D,veterum
SAMN03003069,Metallosphaera sedula,Metallosphaera,sedula
SAMN03003070,Metallosphaera sedula,Metallosphaera,sedula
SAMN03003077,Metallosphaera sedula,Metallosphaera,sedula
SAMN03003078,Metallosphaera sedula,Metallosphaera,sedula
SAMN03003104,Metallosphaera sedula,Metallosphaera,sedula
SAMN03003155,Metallosphaera sedula,Metallosphaera,sedula
SAMN03003156,Metallosphaera sedula,Metallosphaera,sedula
SAMN03003157,Metallosphaera sedula,Metallosphaera,sedula
SAMN03003158,Metallosphaera sedula,Metallosphaera,sedula
SAMN03003246,Metallosphaera sedula,Metallosphaera,sedula
SAMN03003293,Metallosphaera sedula,Metallosphaera,sedula
